Sort Number,Category Name (EN),Category Name (UR),Status,Created Date,Parameters (JSON)
1,Plumber,پلمبر,Active,"=""2026-06-24""","{""en"":[{""name"":""Service Type"",""values"":[""Residential"",""Commercial"",""Industrial"",""New Construction"",""Renovation"",""Maintenance"",""Emergency""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Water Supply"",""Drainage & Sewerage"",""Bathroom Plumbing"",""Kitchen Plumbing"",""Gas & Geyser"",""Water Tank & Pump"",""Pipe Installation"",""Leakage & Repair"",""Sanitary Fittings"",""New Construction"",""Renovation"",""Maintenance""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Within 5 km"",""Within 10 km"",""Within 20 km"",""Within 30 km"",""All Nearby Areas""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Same Day"",""By Appointment"",""Available Now""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Emergency Service"",""values"":[""Yes"",""No""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""Residential"",""Commercial"",""Industrial"",""New Construction"",""Renovation"",""Maintenance"",""Emergency""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Water Supply"",""Drainage & Sewerage"",""Bathroom Plumbing"",""Kitchen Plumbing"",""Gas & Geyser"",""Water Tank & Pump"",""Pipe Installation"",""Leakage & Repair"",""Sanitary Fittings"",""New Construction"",""Renovation"",""Maintenance""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Within 5 km"",""Within 10 km"",""Within 20 km"",""Within 30 km"",""All Nearby Areas""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Same Day"",""By Appointment"",""Available Now""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Emergency Service"",""values"":[""Yes"",""No""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
2,Electrician,الیکٹریشن,Active,"=""2026-07-28""","{""en"":[{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""Industrial"",""Construction"",""Renovation"",""Maintenance""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Wiring & Rewiring"",""Electrical Installation"",""Switches & Sockets"",""Lights & Fixtures"",""Fans & Exhaust"",""DB & Breaker Work"",""Generator & UPS"",""Solar System"",""Water Pump"",""AC Electrical Work"",""Fault Finding & Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Installation"",""Repair"",""Maintenance"",""Inspection"",""Replacement"",""Wiring"",""Troubleshooting""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Emergency Service"",""values"":[""Yes"",""No""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""Industrial"",""Construction"",""Renovation"",""Maintenance""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Wiring & Rewiring"",""Electrical Installation"",""Switches & Sockets"",""Lights & Fixtures"",""Fans & Exhaust"",""DB & Breaker Work"",""Generator & UPS"",""Solar System"",""Water Pump"",""AC Electrical Work"",""Fault Finding & Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Installation"",""Repair"",""Maintenance"",""Inspection"",""Replacement"",""Wiring"",""Troubleshooting""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Emergency Service"",""values"":[""Yes"",""No""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
3,Mechanic,مکینک,Active,"=""2026-06-22""","{""en"":[{""name"":""Vehicle Expertise"",""values"":[""Cars"",""Bikes"",""Rikshaws"",""Trucks"",""Vans"",""Buses""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Engine"",""Transmission"",""Brakes"",""Suspension"",""Steering"",""Electrical"",""AC & Cooling"",""Fuel System"",""Clutch"",""Tuning & Maintenance"",""Diagnostics"",""Body & Mechanical Work""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Repair"",""Maintenance"",""Inspection"",""Tuning"",""Replacement"",""Installation"",""Diagnostics"",""Overhauling""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Emergency Service"",""values"":[""Yes"",""No""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Vehicle Expertise"",""values"":[""Cars"",""Bikes"",""Rikshaws"",""Trucks"",""Vans"",""Buses""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Engine"",""Transmission"",""Brakes"",""Suspension"",""Steering"",""Electrical"",""AC & Cooling"",""Fuel System"",""Clutch"",""Tuning & Maintenance"",""Diagnostics"",""Body & Mechanical Work""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Repair"",""Maintenance"",""Inspection"",""Tuning"",""Replacement"",""Installation"",""Diagnostics"",""Overhauling""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Emergency Service"",""values"":[""Yes"",""No""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
4,Painter,رنگ و روغن کرنے والا,Active,"=""2026-06-24""","{""en"":[{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""Industrial"",""New Construction"",""Renovation"",""Maintenance""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Painting Type"",""values"":[""Interior Painting"",""Exterior Painting"",""Wall Painting"",""Ceiling Painting"",""Wood Painting"",""Metal Painting"",""Texture Painting"",""Spray Painting"",""Waterproofing"",""Wallpaper Installation"",""Polish & Finishing"",""Complete Painting""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Surface Expertise"",""values"":[""Walls"",""Ceiling"",""Wood"",""Metal"",""Doors & Windows"",""Furniture""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""Industrial"",""New Construction"",""Renovation"",""Maintenance""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Painting Type"",""values"":[""Interior Painting"",""Exterior Painting"",""Wall Painting"",""Ceiling Painting"",""Wood Painting"",""Metal Painting"",""Texture Painting"",""Spray Painting"",""Waterproofing"",""Wallpaper Installation"",""Polish & Finishing"",""Complete Painting""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Expertise Surface"",""values"":[""Walls"",""Ceiling"",""Wood"",""Metal"",""Doors & Windows"",""Furniture""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
5,Carpenter,بڑھئی,Active,"=""2026-06-30""","{""en"":[{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""New Construction"",""Renovation"",""Maintenance"",""Custom Work""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Doors & Windows"",""Wardrobes"",""Kitchen Cabinets"",""TV Units"",""Furniture"",""Wooden Flooring"",""Wall Panels"",""Wooden Ceiling"",""Bed & Sofa"",""Tables & Chairs"",""Wood Repair"",""Wood Polishing"",""Custom Woodwork""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Material Expertise"",""values"":[""Solid Wood"",""Plywood"",""Laminate"",""Veneer"",""Wood & Glass""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""New Construction"",""Renovation"",""Maintenance"",""Custom Work""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Doors & Windows"",""Wardrobes"",""Kitchen Cabinets"",""TV Units"",""Furniture"",""Wooden Flooring"",""Wall Panels"",""Wooden Ceiling"",""Bed & Sofa"",""Tables & Chairs"",""Wood Repair"",""Wood Polishing"",""Custom Woodwork""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Material Expertise"",""values"":[""Solid Wood"",""Plywood"",""Laminate"",""Veneer"",""Wood & Glass""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
6,Real Estate Agent,ریئل اسٹیٹ ایجنٹ,Active,"=""2025-08-31""","{""en"":[{""name"":""Property Type"",""values"":[""Residential"",""Commercial"",""Industrial"",""Agricultural"",""Plots"",""Buildings""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Buying & Selling"",""Renting & Leasing"",""Property Investment"",""Property Management"",""Property Valuation"",""Property Marketing"",""Documentation & Transfer""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Deal Type"",""values"":[""Sale"",""Rent"",""Lease"",""Investment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Experience"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""City"",""Multiple Cities"",""Nationwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Property Type"",""values"":[""Residential"",""Commercial"",""Industrial"",""Agricultural"",""Plots"",""Buildings""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Buying & Selling"",""Renting & Leasing"",""Property Investment"",""Property Management"",""Property Valuation"",""Property Marketing"",""Documentation & Transfer""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Deal Type"",""values"":[""Sale"",""Rent"",""Lease"",""Investment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Experience"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""City"",""Multiple Cities"",""Nationwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
7,Beauty & Grooming,بیوٹی اور گرومنگ,Active,"=""2025-08-31""","{""en"":[{""name"":""For"",""values"":[""Women"",""Men"",""Kids""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Setting"",""values"":[""Salon"",""Barber Shop"",""Home Service"",""At Client Location""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Hair & Styling"",""Makeup"",""Facial & Skin Care"",""Manicure & Pedicure"",""Waxing & Threading"",""Hair Removal"",""Hair Treatment"",""Nails"",""Bridal Services"",""Massage & Spa"",""Beard & Shaving"",""Complete Beauty Services""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Hair"",""Bridal Makeup"",""Party Makeup"",""Facial"",""Manicure & Pedicure"",""Waxing"",""Threading"",""Beard Styling"",""Hair Removal""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""For"",""values"":[""Women"",""Men"",""Kids""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Setting"",""values"":[""Salon"",""Barber Shop"",""Home Service"",""At Client Location""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Hair & Styling"",""Makeup"",""Facial & Skin Care"",""Manicure & Pedicure"",""Waxing & Threading"",""Hair Removal"",""Hair Treatment"",""Nails"",""Bridal Services"",""Massage & Spa"",""Beard & Shaving"",""Complete Beauty Services""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Hair"",""Bridal Makeup"",""Party Makeup"",""Facial"",""Manicure & Pedicure"",""Waxing"",""Threading"",""Beard Styling"",""Hair Removal""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
8,Digital Services,ڈیجیٹل سروسز,Active,"=""2025-08-31""","{""en"":[{""name"":""Work Type"",""values"":[""Freelancer"",""Agency"",""Individual Professional"",""Remote Service"",""On-Site Service""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Web Development"",""App Development"",""Graphic Design"",""UI/UX Design"",""Digital Marketing"",""SEO"",""Social Media Management"",""Content Writing"",""Video Editing"",""Photography & Editing"",""E-commerce Services"",""Amazon & Marketplace Services"",""Data Entry"",""Virtual Assistant"",""Software & IT Support"",""AI Services"",""Accounting & Bookkeeping""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Website"",""Mobile App"",""E-commerce"",""WordPress"",""Shopify"",""Amazon"",""Daraz"",""SEO"",""Google Ads"",""Social Media"",""Logo & Branding"",""UI/UX"",""Video Editing"",""Content Writing"",""Copywriting"",""Graphic Design"",""Data Entry"",""Virtual Assistant"",""AI & Automation"",""Software Development"",""Bookkeeping""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Delivery Time"",""values"":[""Same Day"",""1–3 Days"",""3–7 Days"",""1–2 Weeks"",""2–4 Weeks"",""1+ Month""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Price Type"",""values"":[""Per Project"",""Monthly""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Work Type"",""values"":[""Freelancer"",""Agency"",""Individual Professional"",""Remote Service"",""On-Site Service""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Web Development"",""App Development"",""Graphic Design"",""UI/UX Design"",""Digital Marketing"",""SEO"",""Social Media Management"",""Content Writing"",""Video Editing"",""Photography & Editing"",""E-commerce Services"",""Amazon & Marketplace Services"",""Data Entry"",""Virtual Assistant"",""Software & IT Support"",""AI Services"",""Accounting & Bookkeeping""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Website"",""Mobile App"",""E-commerce"",""WordPress"",""Shopify"",""Amazon"",""Daraz"",""SEO"",""Google Ads"",""Social Media"",""Logo & Branding"",""UI/UX"",""Video Editing"",""Content Writing"",""Copywriting"",""Graphic Design"",""Data Entry"",""Virtual Assistant"",""AI & Automation"",""Software Development"",""Bookkeeping""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Delivery Time"",""values"":[""Same Day"",""1–3 Days"",""3–7 Days"",""1–2 Weeks"",""2–4 Weeks"",""1+ Month""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Price Type"",""values"":[""Per Project"",""Monthly""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
9,Tech Device Repairing,ڈیوائس ریپئر سروسز,Active,"=""2025-08-31""","{""en"":[{""name"":""Service Type"",""values"":[""Mobile Repair"",""Laptop Repair"",""Computer Repair"",""Tablet Repair"",""TV Repair"",""LED/LCD Repair"",""Refrigerator Repair"",""Washing Machine Repair"",""Air Conditioner Repair"",""Microwave Repair"",""Water Dispenser Repair"",""Printer Repair"",""CCTV Installation & Repair"",""Game Console Repair"",""Smartwatch Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Screen Replacement"",""Battery Replacement"",""Charging Issue"",""Software Issue"",""Hardware Repair"",""Water Damage"",""Camera Repair"",""Speaker Repair"",""Motherboard Repair"",""General Service"",""Installation"",""Maintenance"",""Charging & Power"",""Virus & Malware Removal"",""Water Damage"",""Hardware Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""1–2 Years"",""3–5 Years"",""6–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Location"",""values"":[""At Customer Location"",""At Service Shop"",""Pickup & Delivery""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""Mobile Repair"",""Laptop Repair"",""Computer Repair"",""Tablet Repair"",""TV Repair"",""LED/LCD Repair"",""Refrigerator Repair"",""Washing Machine Repair"",""Air Conditioner Repair"",""Microwave Repair"",""Water Dispenser Repair"",""Printer Repair"",""Game Console Repair"",""Smartwatch Repair"",""CCTV Installation & Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Specialization"",""values"":[""Screen Replacement"",""Battery Replacement"",""Charging Issue"",""Software Issue"",""Hardware Repair"",""Water Damage"",""Camera Repair"",""Speaker Repair"",""Motherboard Repair"",""General Service"",""Installation"",""Maintenance"",""Charging & Power"",""Virus & Malware Removal"",""Water Damage"",""Hardware Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""1–2 Years"",""3–5 Years"",""6–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Location"",""values"":[""At Customer Location"",""At Service Shop"",""Pickup & Delivery""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
10,IT,انفارمیشن ٹیکنالوجی,Active,"=""2026-08-05""","{""en"":[{""name"":""Service Type"",""values"":[""IT Support"",""Computer & Laptop Services"",""Networking"",""Software Services"",""Hardware Services"",""Data Services"",""Cybersecurity"",""Cloud Services"",""IT Consulting""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Windows Installation"",""Software Installation"",""Computer Setup"",""Networking"",""Computer Repair"",""WiFi Setup"",""Router Configuration"",""CCTV & Security Systems"",""Data Recovery"",""Backup & Storage"",""Server Setup"",""Cloud Setup"",""Website & Hosting"",""Email Setup"",""Microsoft Office"",""Printer Setup"",""Virus & Malware Removal""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""City"",""Nationwide"",""Remote / Online""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""IT Support"",""Computer & Laptop Services"",""Networking"",""Software Services"",""Hardware Services"",""Data Services"",""Cybersecurity"",""Cloud Services"",""IT Consulting""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Windows Installation"",""Software Installation"",""Computer Setup"",""Networking"",""Computer Repair"",""WiFi Setup"",""Router Configuration"",""CCTV & Security Systems"",""Data Recovery"",""Backup & Storage"",""Server Setup"",""Cloud Setup"",""Website & Hosting"",""Email Setup"",""Microsoft Office"",""Printer Setup"",""Virus & Malware Removal""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""City"",""Nationwide"",""Remote / Online""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
